Date,FTAG,FTHG,FTR,HTAG,HTHG,HTR,League_Code,League_Name,Season
19/08/00,0.0,4.0,H,0.0,2.0,H,E0,Premier League (Англия),2000-2001
19/08/00,2.0,4.0,H,0.0,1.0,H,E0,Premier League (Англия),2000-2001
19/08/00,3.0,1.0,A,1.0,1.0,D,E0,Premier League (Англия),2000-2001
19/08/00,2.0,2.0,D,2.0,1.0,A,E0,Premier League (Англия),2000-2001
19/08/00,0.0,2.0,H,0.0,2.0,H,E0,Premier League (Англия),2000-2001
19/08/00,0.0,0.0,D,0.0,0.0,D,E0,Premier League (Англия),2000-2001
19/08/00,0.0,1.0,H,0.0,0.0,D,E0,Premier League (Англия),2000-2001
19/08/00,0.0,1.0,H,0.0,0.0,D,E0,Premier League (Англия),2000-2001
19/08/00,1.0,3.0,H,1.0,2.0,H,E0,Premier League (Англия),2000-2001
20/08/00,0.0,2.0,H,0.0,1.0,H,E0,Premier League (Англия),2000-2001
21/08/00,0.0,2.0,H,0.0,1.0,H,E0,Premier League (Англия),2000-2001
22/08/00,0.0,2.0,H,0.0,1.0,H,E0,Premier League (Англия),2000-2001
22/08/00,1.0,1.0,D,1.0,1.0,D,E0,Premier League (Англия),2000-2001
22/08/00,1.0,1.0,D,1.0,0.0,A,E0,Premier League (Англия),2000-2001
23/08/00,0.0,3.0,H,0.0,0.0,D,E0,Premier League (Англия),2000-2001
23/08/00,2.0,4.0,H,0.0,2.0,H,E0,Premier League (Англия),2000-2001
23/08/00,2.0,3.0,H,1.0,1.0,D,E0,Premier League (Англия),2000-2001
23/08/00,2.0,1.0,A,1.0,0.0,A,E0,Premier League (Англия),2000-2001
23/08/00,1.0,0.0,A,0.0,0.0,D,E0,Premier League (Англия),2000-2001
26/08/00,3.0,5.0,H,2.0,1.0,A,E0,Premier League (Англия),2000-2001
26/08/00,0.0,0.0,D,0.0,0.0,D,E0,Premier League (Англия),2000-2001
26/08/00,2.0,2.0,D,0.0,2.0,H,E0,Premier League (Англия),2000-2001
26/08/00,0.0,1.0,H,0.0,0.0,D,E0,Premier League (Англия),2000-2001
26/08/00,2.0,1.0,A,2.0,0.0,A,E0,Premier League (Англия),2000-2001
26/08/00,2.0,1.0,A,2.0,0.0,A,E0,Premier League (Англия),2000-2001
26/08/00,0.0,2.0,H,0.0,1.0,H,E0,Premier League (Англия),2000-2001
26/08/00,3.0,3.0,D,1.0,0.0,A,E0,Premier League (Англия),2000-2001
26/08/00,2.0,2.0,D,1.0,0.0,A,E0,Premier League (Англия),2000-2001
27/08/00,1.0,1.0,D,1.0,1.0,D,E0,Premier League (Англия),2000-2001
05/09/00,2.0,1.0,A,2.0,0.0,A,E0,Premier League (Англия),2000-2001
05/09/00,0.0,6.0,H,0.0,2.0,H,E0,Premier League (Англия),2000-2001
05/09/00,1.0,1.0,D,1.0,1.0,D,E0,Premier League (Англия),2000-2001
05/09/00,2.0,3.0,H,2.0,1.0,A,E0,Premier League (Англия),2000-2001
06/09/00,1.0,1.0,D,0.0,0.0,D,E0,Premier League (Англия),2000-2001
06/09/00,2.0,2.0,D,0.0,1.0,H,E0,Premier League (Англия),2000-2001
06/09/00,2.0,0.0,A,1.0,0.0,A,E0,Premier League (Англия),2000-2001
06/09/00,3.0,3.0,D,1.0,0.0,A,E0,Premier League (Англия),2000-2001
06/09/00,1.0,2.0,H,0.0,0.0,D,E0,Premier League (Англия),2000-2001
06/09/00,1.0,3.0,H,0.0,3.0,H,E0,Premier League (Англия),2000-2001
09/09/00,1.0,1.0,D,0.0,1.0,H,E0,Premier League (Англия),2000-2001
09/09/00,0.0,0.0,D,0.0,0.0,D,E0,Premier League (Англия),2000-2001
09/09/00,2.0,1.0,A,1.0,0.0,A,E0,Premier League (Англия),2000-2001
09/09/00,0.0,1.0,H,0.0,0.0,D,E0,Premier League (Англия),2000-2001
09/09/00,2.0,3.0,H,0.0,1.0,H,E0,Premier League (Англия),2000-2001
09/09/00,0.0,3.0,H,0.0,1.0,H,E0,Premier League (Англия),2000-2001
09/09/00,2.0,1.0,A,0.0,1.0,H,E0,Premier League (Англия),2000-2001
